"id_product";"reference";"name";"description";"price";"link_rewrite";"link_rewrite";"id_image"
"166";"2015/78A";"Secretaire Louis XVI en chêne polychrome";"<p></p>
<p>L. 87;5 cm; P. 46 cm; H. 101 cm</p>
<p>Herve fin XVIII ème</p>";"1239.669421";"mobilier";"secretaire-polychrome";"165"
"167";"2012/171";"Table à rabat; Suède 19è S";"<p>Table à rabat; Suède 19è S</p>";"578.512397";"mobilier";"table-a-rabat";"166"
"168";"2015/248A";"Pot à moutarde et sa cuillère en argent; Londres; 1895";"<p>Pot à moutarde et sa cuillère en argent; Londres; 1895</p>";"152.892562";"argenterie-et-verrerie";"pot-a-moutarde-et-sa-cueillere-en-argent";"167"
"169";"2016/06J";"Série de dix chaises en noyer";"<p>Série de dix chaises en noyer</p>";"1487.603306";"chaises";"serie-de-10-chaises-en-noyer";"168"
"171";"2013/98A";"Paire de vases en céramique de Sèvres; 19è siècle; société Paul Millet et fils fondé en 1866";"<p>Paire de vases en céramique de Sèvres; 19è siècle; société Paul Millet et fils fondé en 1866</p>";"247.933884";"porcelaine-et-faience";"paire-de-vases-en-ceramique-de-sevres";"170"
"175";"2016/06i";"Paire de lanterne en zinc mise à l'électricité; fin 19è siècle";"<p>Paire de lanterne en zinc mise à l'électricité; fin 19è siècle</p>";"1033.057851";"luminaires";"paire-de-lanternes-en-zinc";"173"
"176";"2013/239";"Sculpture en plâtre de Carl Von Linné; début 20è siècle";"<p>Sculpture en plâtre de Carl Von Linné; début 20è siècle</p>";"1322.314050";"sculptures";"sculpture-en-platre-de-carl-von-linne";"174"
"178";"2012/281A";"Crémier en argent; Birmingham; 1929";"<p>Crémier en argent; Birmingham; 1929</p>";"206.611570";"argenterie-et-verrerie";"cremier-en-argent";"176"
"179";"2016/16E";"Paire de vases en vieux Bruxelles";"<p>Paire de vases en vieux Bruxelles</p>";"289.256198";"porcelaine-et-faience";"paire-de-vases-en-vieux-bruxelles";"177"
"181";"2006/190C";"Table encoignure en palissandre et citronnier avec de la marqueterie";"<p>Table encoignure en palissandre et citronnier avec de la marqueterie</p>";"371.900826";"mobilier";"encoignure-en-palissandre-et-citronnier-avec-de-la-marqueterie";"179"
"183";"2015/261D";"Huile sur bois ""Pêcheurs""; signé William Collins (1788-1847); début 19è siècle; école anglaise";"<p>Huile sur bois ""Pêcheurs""; signé William Collins (1788-1847); début 19è siècle; école anglaise</p>";"495.867769";"tableaux";"william-collins-1788-1847-pecheurs";"181"
"184";"2016/85M";"Porteuse d'eau en plâtre; début 20è siècle";"<p>Porteuse d'eau en plâtre; début 20è siècle</p>";"132.231405";"sculptures";"porteuse-d-eau-en-platre";"182"
"188";"2013/176C";"Coffre anglais en chêne 18è S";"<p>Coffre anglais en chêne 18è S</p>";"661.157025";"mobilier";"coffre-anglais-sculpte";"186"
"189";"2016/07D";"Petit canapé Louis XVI époque Napoléon III";"<p>Petit canapé Louis XVI époque Napoléon III</p>";"495.867769";"fauteuils";"canape-style-louis-xvi";"187"
"191";"2015/172T";"Paire de bougeoires en bronze; fin 19è siècle";"<p>Paire de bougeoires en bronze; fin 19è siècle</p>";"123.966942";"divers";"paire-de-bougeoirs-en-bronze";"189"
"192";"2013/179A";"Guéridon en marqueterie";"<p></p>
<p>D. 56 cm; H. 70 cm</p>
<p>Italie XIX ème siècle</p>";"1115.702479";"mobilier";"gueridon-en-marqueterie";"190"
"193";"2014/164A";"Lévrier en bronze de Vienne; fin 19è siècle";"<p>Lévrier en bronze de Vienne; fin 19è siècle</p>";"479.338843";"bronzes-de-vienne";"levrier";"191"
"198";"2013/95H";"Petite table en marqueterie";"<p></p>
<p>L? 47 cm; P. 36 cm; H. 75 cm</p>
<p>XIX ème siècle</p>";"1144.628099";"mobilier";"petit-gueridon-en-marqueterie-avec-eglomise-en-tablette";"196"
"199";"2012/186B";"Etagère en métal avec chapiteau ancien";"<p>Etagère en métal avec chapiteau ancien</p>";"743.801653";"mobilier";"etagere-en-metal-avec-chapiteau-ancien";"197"
"200";"2010/287G";"Chaise de bureau en acajou";"<p>Chaise de bureau en acajou</p>";"289.256198";"chaises";"chaise-de-bureau-en-acajou";"198"
"204";"2014/157D";"Assiette en Vieux Bruxelles";"<p></p>
<p>D. 25;5 cm</p>
<p>Début XX ème</p>";"99.173554";"porcelaine-et-faience";"assiette-en-vieux-bruxelles";"202"
"205";"2013/240";"Huile sur carton; ""Cavalier""; signé Boris Orlow; peintre russe; 20è siècle";"<p>Huile sur carton; ""Cavalier""; signé Boris Orlow; peintre russe; 20è siècle</p>";"247.933884";"tableaux";"ecole-russe-boris-orlow";"203"
"208";"2014/24";"Lot d'assiettes en Porcelaine de Tournai";"<p></p><p>D. 25 cm </p><p>XVIII ème siècle </p>";"41.322314";"porcelaine-et-faience";"lot-d-assiettes-en-porcelaine-de-tournai";"206"
"211";"2010/292";"Lot de six chaises déco style industriel vintage";"<p>Lot de six chaises déco style industriel vintage</p>";"495.867769";"chaises";"6-chaises-deco-style-industriel";"209"
"212";"2012/90C";"Paire de consoles Epoque Directoire";"<p></p>
<p>L. 90 cm; P. 35 cm; H. 76 cm</p>
<p>XIX ème siècle</p>";"1528.925620";"mobilier";"paire-de-consoles-epoque-directoire";"210"
"213";"2015/172M";"Vase Médicis en fonte";"<p></p>
<p>D. 30 cm; H. 22 cm</p>
<p>XIX ème siècle</p>";"181.818182";"divers";"vase-medicis-en-fonte";"211"
"216";"2014/22C";"Miroir en érable et poirier noirci";"<p></p>
<p>H. 60 cm; L. 50 cm</p>
<p>Directoire</p>";"235.537190";"miroirs-et-trumeaux";"miroir-en-erable-et-poirier-noirci";"214"
"219";"2015/107A";"Buffet polychrome ! Même référence que autre meuble; à vérifier !!";"<p>Buffet polychrome ! Même référence que autre meuble; à vérifier !!</p>";"619.834711";"mobilier";"buffet-polychrome";"217"
"222";"2004/153";"Groupe en porcelaine de Lowestoft (Suffolk)";"<p>Groupe en porcelaine de Lowestoft (Suffolk)</p>";"165.289256";"porcelaine-et-faience";"groupe-en-porcelaine-de-lowestoft-suffolk";"220"
"229";"2013/242BIS4";"Salière en argent";"<p></p>
<p>H. 8 cm</p>
<p>XIX ème siècle</p>";"123.966942";"argenterie-et-verrerie";"saliere-en-argent";"227"
"235";"2010/03D";"Œufs sculptés en bois corozo (fruit d'un palmier d'Amérique du Sud; appelé aussi ""ivoire végétal"")";"<p>Œufs sculptés en bois corozo (fruit d'un palmier d'Amérique du Sud; appelé aussi ""ivoire végétal"") </p>";"16.528926";"divers";"tabouret-polychrome-style-regence";"233"
"238";"2013/112";"Jardinière en noyer style Queen Ann";"<p></p>
<p>L: 120 cm; H: 87 cm; P: 39 cm</p>
<p>Epoque édouardienne</p>";"785.123967";"mobilier";"jardiniere-en-noyer-style-queen-ann";"236"
"239";"2009/303G";"Chocolatière en métal argenté avec prise en bois noirci; Suède; circa 1800";"<p>Chocolatière en métal argenté avec prise en bois noirci; Suède; circa 1800</p>";"185.950413";"argenterie-et-verrerie";"chocolatiere-en-metal-argente-avec-prise-en-bois-noirci";"237"
"243";"2016/101G";"Huilier en Métal argenté et cristal";"<p></p>
<p>H. 28 cm; L. 24 cm</p>
<p>France XIX ème siècle</p>";"198.347107";"argenterie-et-verrerie";"huilier-en-metal-argente-et-cristal";"241"
