"id_product";"reference";"name";"description";"link_rewrite";"link_rewrite";"id_image"
"131";"2011/62D4";"Petit plat Meissen";"<p></p>
<p>L. 17 cm</p>
<p>XIX ème</p>";"porcelaine-et-faience";"petit-plat-meissen";"130"
"133";"2013/111B";"Encoignure peinte à suspendre, circa 1880";"<p>Encoignure peinte à suspendre, circa 1880</p>";"mobilier";"encoignure-peinte-a-suspendre";"132"
"137";"2014/217B";"Cafetière en argent";"<p></p>
<p>H. 25 cm</p>
<p>Paris fin XVIII ème</p>";"argenterie-et-verrerie";"cafetiere-en-argent";"136"
"140";"2009/303F1";"Pot au lait Suédois, 1855";"<p>Pot au lait Suédois, 1855</p>";"argenterie-et-verrerie";"pot-au-lait-suedois";"139"
"142";"2004/64A";"Estampe  indien apache";"<p>signé R.C Wood</p>
<p>L: 56 cm, H : 68 cm</p>
<p></p>";"tableaux";"gravure-indien-apache";"141"
"143";"2010/193J";"Plat en Imari, 19è siècle";"<p>Plat en Imari, 19è siècle</p>";"porcelaine-et-faience";"plat-en-imari";"142"
"145";"2010/207A";"Grand lustre style Marie Thérèse";"<p>Grand lustre style Marie Thérèse </p>";"luminaires";"grand-lustre-style-marie-therese";"144"
"148";"2010/293J";"Grande assiette en Delft, 18è siècle";"<p>Grande assiette en Delft, 18è siècle</p>";"porcelaine-et-faience";"grande-assiette-en-delft";"147"
"151";"2007/257F";"Plateau en laiton , pays Basque";"<p></p>
<p>D. 44 cm</p>
<p>Début XIXème</p>";"divers";"plateau-en-laiton-pays-basque";"150"
"152";"2010/255B";"SAMMY par Hermin Keller";"<p>Bronze signé Hermin Keller</p>
<p>L. 37 cm, H. 34 cm</p>
<p>Suède XXème siècle</p>";"sculptures";"sammy-par-hermin-keller";"151"
"153";"2015/251B";"Nid et oiseau en bronze de Vienne";"<p>Nid et oiseau en bronze de Vienne</p>";"bronzes-de-vienne";"nid-d-oiseau";"152"
"155";"2009/287E";"Boite à thé en argent";"<p></p>
<p>H. 11cm, L. 10cm, P. 7cm</p>
<p>Londres 1904</p>";"argenterie-et-verrerie";"tea-caddy-en-argent";"154"
"163";"2014/88";"Secretaire Anglais en chêne";"<p></p>
<p>L. 102 cm, P. 52 cm/89 cm, H. 104 cm/70 cm</p>
<p>XVIII-ème siècle</p>";"mobilier";"secretaire-en-chene";"162"
"164";"2011/14D";"Lustre en cristal, 19è siècle";"<p>Lustre en cristal, 19è siècle</p>";"luminaires";"lustre-en-cristal";"163"
"165";"2008/253A";"Table bureau Louis Philippe";"<p></p>
<p>L. 95 cm, (+ 25 cm rabats) P. 65 cm, H. 75 cm</p>
<p>XIX ème</p>";"mobilier";"table-bureau-louis-philippe";"164"
"166";"2015/78A";"Secretaire Louis XVI en chêne polychrome";"<p></p>
<p>L. 87,5 cm, P. 46 cm, H. 101 cm</p>
<p>Herve fin XVIII ème</p>";"mobilier";"secretaire-polychrome";"165"
"167";"2012/171";"Table à rabat, Suède 19è S";"<p>Table à rabat, Suède 19è S</p>";"mobilier";"table-a-rabat";"166"
"168";"2015/248A";"Pot à moutarde et sa cuillère en argent, Londres, 1895";"<p>Pot à moutarde et sa cuillère en argent, Londres, 1895</p>";"argenterie-et-verrerie";"pot-a-moutarde-et-sa-cueillere-en-argent";"167"
"169";"2016/06J";"Série de dix chaises en noyer";"<p>Série de dix chaises en noyer</p>";"chaises";"serie-de-10-chaises-en-noyer";"168"
"171";"2013/98A";"Paire de vases en céramique de Sèvres, 19è siècle, société Paul Millet et fils fondé en 1866";"<p>Paire de vases en céramique de Sèvres, 19è siècle, société Paul Millet et fils fondé en 1866</p>";"porcelaine-et-faience";"paire-de-vases-en-ceramique-de-sevres";"170"
"175";"2016/06I";"Paire de lanterne en zinc mise à l'électricité, fin 19è siècle";"<p>Paire de lanterne en zinc mise à l'électricité, fin 19è siècle</p>";"luminaires";"paire-de-lanternes-en-zinc";"173"
"176";"2013/239";"Sculpture en plâtre de Carl Von Linné, début 20è siècle";"<p>Sculpture en plâtre de Carl Von Linné, début 20è siècle</p>";"sculptures";"sculpture-en-platre-de-carl-von-linne";"174"
"178";"2012/281A";"Crémier en argent, Birmingham, 1929";"<p>Crémier en argent, Birmingham, 1929</p>";"argenterie-et-verrerie";"cremier-en-argent";"176"
"179";"2016/16E";"Paire de vases en vieux Bruxelles";"<p>Paire de vases en vieux Bruxelles</p>";"porcelaine-et-faience";"paire-de-vases-en-vieux-bruxelles";"177"
"181";"2006/190C";"Table encoignure en palissandre et citronnier avec de la marqueterie";"<p>Table encoignure en palissandre et citronnier avec de la marqueterie</p>";"mobilier";"encoignure-en-palissandre-et-citronnier-avec-de-la-marqueterie";"179"
"183";"2015/261D";"Huile sur bois ""Pêcheurs"", signé William Collins (1788-1847), début 19è siècle";"<p>Huile sur bois ""Pêcheurs"", signé William Collins (1788-1847), début 19è siècle</p>";"tableaux";"william-collins-1788-1847-pecheurs";"181"
"184";"2016/85M";"Porteuse d'eau en plâtre, début 20è siècle";"<p>Porteuse d'eau en plâtre, début 20è siècle</p>";"sculptures";"porteuse-d-eau-en-platre";"182"
"188";"2013/176C";"Coffre anglais en chêne 18è S";"<p>Coffre anglais en chêne 18è S</p>";"mobilier";"coffre-anglais-sculpte";"186"
